userName,content,at
rizka nurhartini,Mau sign in gak bisa-bisa👎,2023-01-02 01:12:52
Putu Rinawati,"Udah register dan udh dapat confirmasi dari email tp pas sign in blg email sm password salah, gmn sih??",2023-01-01 21:00:19
chaterine yoanita,"Padahal sudah daftar tapi gak bisa sign in, udh daftar pake 3 nomor sma 3 email tapi ttp aja gak bsa sign in keterangannya invalid mulu. Ini apk mending di apus aja gak guna :)",2023-01-01 17:18:25
Asep Pujianto,"Perusahaan Besar Aplikasi Lemot nya Minta Ampun , Lokasi ga Update, Maaf Uninstall Segera",2023-01-01 15:33:31
Sri Hasanah,"Ga bisa login, padahal email dan password yang di masukkan sudah betul",2023-01-01 14:48:07
Ivana Geovani Hadidah,susah ribet nnti coba lagi klo g mager,2022-12-30 15:35:39
sri insani,Sumpah aplikasinya berat banget kynya yaa. Buka lama banget. Cuma logo yng muncul. SEJAM LEBIH WOOYY.. ..,2022-12-29 07:26:49
lusiana sohaimin,Bru instal aja gk bsa sign in hadeeh.. capedeh,2022-12-28 22:29:32
Sherly Sherly,"Saya tidak terima inbox sama sekali, terakhir terima inbox promo di bulan sept... Pdahl sdah coba hapus instal lagi ttep ja aplikasi gk ada inbox baru.. ini kenapa yh?",2022-12-27 16:03:44
Regina ivana,Ga bisa sign up :) terus gmn,2022-12-26 22:15:25
muhammad dwizulfan rohman,"Ketika ada reward harusnya diingetin percuma juga ngumpul2in point kalo ga dipake, kadang costumer kan ga cek punya reward/lupa. Terutama di outlet crbn 👌",2022-12-26 10:18:22
Artocles Tambunan,Byk rewards dan simple pakainya,2022-12-25 03:33:47
Ryuuuki,ribet,2022-12-23 23:14:45
offroader online,"Posisi saya di kota cimahi, tp pilihan outlet nya malah jakarta semua ga bisa pilih terdekat gimana mau order nya ini",2022-12-22 17:59:32
Indra Lukmanul hakim,Kocak gabisa di buka,2022-12-22 11:47:23
Giasta gin,"Saya sangat senang sekali dengan pelayanan chacha di Starbucks TSM cibubur. To helpfull on 22 dec 2022 at 10:47 am. If i can give rating about of customer satisfactios, i give for her 98-100%. Thanks cha :)",2022-12-22 10:49:57
Asep Asep,battle of the best bijak Potoajengposisidimana,2022-12-19 08:15:48
irianto jh,Aplikasi ribet,2022-12-14 15:45:48
Sella Anggraeni,🥰,2022-12-14 11:42:55
Prettys Tania,"Kenapa mau di pakai malahan g bisa di buka ini aplikasi. ..saldo gue masih banyak , tolong dong ya !!!! Duh bukannya bikin praktis malahan bikin ribet",2022-12-14 09:55:09
Dee Dillah Ashari,"Error sekali tapi jangan lupa kebaikan yang lainnya. Banya promo, banyak point, banyak free. Nongki ternyaman daripada tempat lainnya. Apalagi menu ADL ice sama Salted caramel,,top dahh",2022-12-10 12:54:56
Sri Yulianingsih,Tempat meetup dan meeting yg nyaman sepanjang kenal starbucks. Thanks Starbucks,2022-12-10 12:35:56
Dwi Rosalina,Bagus 👍,2022-12-09 23:23:52
Chris Pupu,Aplikasi tidak bisa di buka. Gimana nasib dana saya yg ada? Terpaksa bayar dengan Cash karena ramai. Bayangkan jika tidak ada cash. Tolong perbaiki lah..,2022-12-09 12:24:28
Widy Larasati,aplikasi nggak bisa di buka,2022-12-08 14:23:30
Savira Nur Artamevia,Mayan buat dapet promo sbux dan kumpulin poin hanya saja loading agak lama,2022-12-07 15:09:31
Arif Wijaya,The apps UI looks messed up on my phone,2022-12-07 13:29:57
Devi Octora,Apk gbsa di donlot! Payah,2022-12-06 23:32:15
Nisrina Attira,"Hallo, saya mencoba daftar pengguna baru di aplikasi starbuks kenapa selalu gagal yaa pendaftaran ituuu? Jaringan saya tidak masalah, tidak ada email masuk jga saran dong kaa",2022-12-04 21:50:37
Muhamad Rizky,"Baru kali ini kasih ulasan ☆ 1 , parah sie emang nie apk ga bisa dibuka, kirain abis kuota ternyata, emang apk nya yg error..",2022-12-04 13:57:20
Agus Martino,Kalau ada kendala segera diperbaiki merepotkan,2022-12-04 13:54:50
Risma Arghia,"Aplikasi payah, ngeleh banget",2022-12-04 13:50:53
Christian Turnawan,Gk bisa di buka... 😭😭,2022-12-04 12:28:32
MUHAMMAD RAIHAN,"selalu bermasalah di otpnya, dan saya sudah berulang kali tapi tetap gagal",2022-12-04 11:05:41
